01N010000000100	Nc---n	Noun common -Definiteness	Noun Type=common Definiteness=no
10M04020202000200	Mmfpo-y	Numeral multiple feminine plural oblique +Definiteness	Numeral Type=multiple Gender=feminine Number=plural Case=oblique Definiteness=yes
10M04020202000202	Mmfpo-yy	Numeral multiple feminine plural oblique +Definiteness +Clitic	Numeral Type=multiple Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes
10M05000201000000	Ml-pr	Numeral collect plural direct	Numeral Type=collect Number=plural Case=direct
10M05000202000000	Ml-po	Numeral collect plural oblique	Numeral Type=collect Number=plural Case=oblique
10M05010201000000	Mlmpr	Numeral collect masculine plural direct	Numeral Type=collect Gender=masculine Number=plural Case=direct
10M05010202000000	Mlmpo	Numeral collect masculine plural oblique	Numeral Type=collect Gender=masculine Number=plural Case=oblique
10M05020201000000	Mlfpr	Numeral collect feminine plural direct	Numeral Type=collect Gender=feminine Number=plural Case=direct
10M05020202000000	Mlfpo	Numeral collect feminine plural oblique	Numeral Type=collect Gender=feminine Number=plural Case=oblique
11Q010000	Qz	Particle negative	Particle Type=negative
11Q010002	Qz-y	Particle negative +Clitic	Particle Type=negative Clitic=yes
11Q020000	Qn	Particle infinitive	Particle Type=infinitive
11Q020002	Qn-y	Particle infinitive +Clitic	Particle Type=infinitive Clitic=yes
11Q030000	Qs	Particle subjunctive	Particle Type=subjunctive
11Q050000	Qf	Particle future	Particle Type=future
12I	I	Interjection	Interjection
13Y0000000000	Y	Abbreviation	Abbreviation
13Y0100000000	Yn	Abbreviation nominal	Abbreviation Syntactic_Type=nominal
13Y0101010101	Ynmsry	Abbreviation nominal masculine singular direct +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=singular Case=direct Definiteness=yes
13Y0101010201	Ynmsoy	Abbreviation nominal masculine singular oblique +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=singular Case=oblique Definiteness=yes
13Y0101010301	Ynmsvy	Abbreviation nominal masculine singular vocative +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=singular Case=vocative Definiteness=yes
13Y0101020101	Ynmpry	Abbreviation nominal masculine plural direct +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=plural Case=direct Definiteness=yes
13Y0101020201	Ynmpoy	Abbreviation nominal masculine plural oblique +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=plural Case=oblique Definiteness=yes
13Y0101020301	Ynmpvy	Abbreviation nominal masculine plural vocative +Definiteness	Abbreviation Syntactic_Type=nominal Gender=masculine Number=plural Case=vocative Definiteness=yes
13Y0102010101	Ynfsry	Abbreviation nominal feminine singular direct +Definiteness	Abbreviation Syntactic_Type=nominal Gender=feminine Number=singular Case=direct Definiteness=yes
13Y0102010201	Ynfsoy	Abbreviation nominal feminine singular oblique +Definiteness	Abbreviation Syntactic_Type=nominal Gender=feminine Number=singular Case=oblique Definiteness=yes
13Y0102020301	Ynfpvy	Abbreviation nominal feminine plural vocative +Definiteness	Abbreviation Syntactic_Type=nominal Gender=feminine Number=plural Case=vocative Definiteness=yes
13Y0200000000	Yv	Abbreviation verbal	Abbreviation Syntactic_Type=verbal
13Y0300000000	Ya	Abbreviation adjectival	Abbreviation Syntactic_Type=adjectival
13Y0400000000	Yr	Abbreviation adverbial	Abbreviation Syntactic_Type=adverbial
13Y0500000000	Yp	Abbreviation pronominal	Abbreviation Syntactic_Type=pronominal
13Y0500010100	Yp-sr	Abbreviation pronominal singular direct	Abbreviation Syntactic_Type=pronominal Number=singular Case=direct
13Y0500010200	Yp-so	Abbreviation pronominal singular oblique	Abbreviation Syntactic_Type=pronominal Number=singular Case=oblique
13Y0500020000	Yp-p	Abbreviation pronominal plural	Abbreviation Syntactic_Type=pronominal Number=plural
13Y0501010000	Ypms	Abbreviation pronominal masculine singular	Abbreviation Syntactic_Type=pronominal Gender=masculine Number=singular
13Y0502010000	Ypfs	Abbreviation pronominal feminine singular	Abbreviation Syntactic_Type=pronominal Gender=feminine Number=singular
14X	X	Residual	Residual
15Z	Z	Punctuation	Punctuation
